komentar,platform
"Pengabdi setan 1 menurutku eksekusi endingnya masih kagok, tapi untuk alur dan lain-lainnya kece parah si. Makanya masih mau liat PS 2, dan wow, terrornya ga murahan, dari awal sampe akhir dibuat kagum, totalitas banget",youtube
"Film yang Keren! Fantastic, 1000/1000 Stars! Joko Anwar memeng Pintar menulis Cerita Horror yang kualitas tinggi!!! 
🤩",youtube
Bang sepupu saya pernah ke tempat scuting,youtube
"di scene akhir dikatakan. ""ada kekuatan yg lebih jahat dan lebih besar, nanti akan aku ceritakan semuanya"". 

fix. ada lanjutannya. Pengabdi setan 3.",youtube
Seru banget film nya same takut ke kamar mandi wkwkwkwkwk,youtube
ijjati movie sound effects oke chumma 🔥,youtube
Name frst bengali setan nn vayichu😂,youtube
First time watching Indonesian cinema. Looks amazing. Please recommend some good Indonesian movies . Love from India 🇮🇳,youtube
On shudder,youtube
kapan bang,youtube
 @farell2583  tayang kemarin malam jam 22.45,youtube
"waktu mati lampu, ustadznya malah berduaan sama wanita, imannya kalah sama setan",youtube
"Ya kebanyakan film horor sekarang ya gitu, pemuka agama akan kalah dengan setannya, sama tuh kaya film horor diluar yang mana pendeta akan menjadi korban, malah justru yang nyelamatin alur cerita itu orang mistis kaya kakek dukun gitu.",youtube
idiot pajeet,youtube
rumor ny ampe pengabdi setan 4 om,youtube
​ @Erwan000 sok tau,youtube
Bro how's this movie?,youtube
"- Imperigore 
- the queen of black magic
- photocopier
- the Raid 1 & 2
- the night comes from us",youtube
The queen of black magic it was great if you like some body horror,youtube
"Guys Is This Movie Available For Streaming?
A Big Fan Of Joko Anwar From India",youtube
"Ini masi ada lanjutan ceritanya ya,,, gua heran aja, sma kawan nya doni, yg sering di gebukin oleh bapak nya, trus bapak nya mati di lift. Trus ibu nya gantung diri, dan adek cewek nya di bunuh sma hantunya... Tapi dia biasa2 aja. Padahal keluarganya pada mati..",youtube
Mmg best dah tengok mantap lakonannya,youtube
Bang yang kurang balik bok,youtube
Horor kualitas internasional.,youtube
"Menurut saya, Darminah dan Batara BISA JADI membantu keluarga Suwono dengan cara mereka sendiri, dan saya tidak tahu caranya. Cuma Pak Joko dan tim nya yang tahu selain Tuhan. Opini ini berdasar pada akhir scene dialog mereka berdua yang mengatakan bahwa tidak berada pada pihak manapun. Pada film pertama mereka berdua juga mengatakan bahwa keluarga Suwono harus dipastikan tidak pindah ke tempat lain (Eh akhirnya pindah deh, pindahnya ke rusun maut). Namun tidak tahu akan seperti apa Pak Joko Anwar membawa film ini di masa datang (harus ada lanjutannya, please Rapi Films) karena memang dia raja plot twist dan masih ada potongan-potongan puzzle yang hilang sehingga saya punya opini sesat semacam ini. Selamat  Pak Joko.",youtube
G ngerti gue film ini..,youtube
bangunannya mirip the raid 1,youtube
Как фильм?,youtube
"Menurut aku ini film alur ny ga jelas bgt, seram ny oke tp ga jelas, lebih bagus yg ke1.. Bad bgt",youtube
When will this horror masterpiece be on Blu-ray or even 4K Blu-ray? Any release date? Can't wait for it,youtube
"film paling angker & terheboh sepanjang masa ini

film favorit saya, seram & angkernya dapat banget membuat penonton keringat dingin & merinding + ketakutan sangat mencekam film ini....",youtube
idham sudah manggil hantu ya Horor,youtube
"Ga ada yg bikin film tentang mati nya kluarga karena kelaparan di negri ini.. atau tentang nepotisme, atau tentang rusak nya alam oleh bnyak pengusaha, atau tentang perenggutan kemaslahatan banyak org di negri ini",youtube
Promo pelem indonesia.lebay tingkat akut dri sutradara anula pnulis anula seolah uda siap pula ngalahin karya2 international.trnyata cuman karya abal2 monoton dan bikin garing 😂😂😂😂😂,youtube
"Gasempet nonton ini karna udah tetlanjut sakit hati banget, karna di film pengabdi setan 2 ini doi ketauan nonton sama cwe lain 😊😊",youtube
serem banget,youtube
"Film apa ini....rusak smua . G nyambung , mirip hantu indosiar.",youtube
"Klu ada filmnya yg full? Pngen skli nnton, gk dpt2 dibyutub",youtube
Pengen nonton lagi 😢,youtube
On netflix,youtube
